CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1784385	*	6
CHEMBL1784384	*	5.7
CHEMBL1271606	*	6.13
CHEMBL1784466	*	4.6
CHEMBL1784406	*	4.25
CHEMBL1784405	*	5.8
CHEMBL1784465	*	4.74
CHEMBL1784471	*	5.22
CHEMBL1784407	*	4.35
CHEMBL1784513	*	4.28
CHEMBL1784524	*	4.44
CHEMBL1784518	*	4.92
CHEMBL1784515	*	4.51
CHEMBL1784519	*	5.1
CHEMBL1784511	*	4.38
CHEMBL1782081	*	4.5
CHEMBL1784523	*	4
CHEMBL1784475	*	4.6
CHEMBL1784522	*	5
CHEMBL1784464	*	4.6
CHEMBL1784468	*	4.1
CHEMBL1784409	*	4.3
CHEMBL1784467	*	4.5
CHEMBL1784473	*	4.2
CHEMBL1388224	4.95	*
CHEMBL1311432	4.9	*
CHEMBL3189779	4.9	*
CHEMBL2441831	4.96	*
CHEMBL2441840	4.4	*
CHEMBL2441841	5.52	*
CHEMBL2441839	4.82	*
CHEMBL2441838	4.85	*
CHEMBL2441954	4.64	*
CHEMBL2441955	5.09	*
CHEMBL2441832	6.05	*
CHEMBL1909986	5.96	4.85
CHEMBL1909987	6.11	*
CHEMBL2441833	5.1	*
CHEMBL2441834	5.11	*
CHEMBL1209853	6	*
CHEMBL603052	*	4.79
CHEMBL1466951	5	*
CHEMBL1567373	4.4	*
CHEMBL1713586	4.75	*
CHEMBL1304607	5	*
CHEMBL1342850	4.8	*
CHEMBL1383532	4.85	*
CHEMBL1543676	4.8	*
CHEMBL485123	*	4.07
CHEMBL466648	*	4.39
CHEMBL512975	*	4.64
CHEMBL1950091	5.1	*
CHEMBL2069424	*	5
CHEMBL2147219	*	4.7
CHEMBL2147214	*	4.9
CHEMBL2147217	*	4.5
CHEMBL3290339	*	4.59
CHEMBL3290340	*	4.16
CHEMBL3608744	*	4.09
CHEMBL3585955	*	5.32
CHEMBL3585956	*	5.66
CHEMBL3585954	*	5.66
CHEMBL3545367	*	5.22
CHEMBL3585946	*	5.11
CHEMBL3585953	*	5.23
CHEMBL1834797	*	4.6
CHEMBL655	5.61	*
CHEMBL12014	5.4	*
CHEMBL483805	*	5
CHEMBL3218915	*	5.08
CHEMBL3218910	*	4.92
CHEMBL1081687	*	5.3
CHEMBL255158	*	5.4
CHEMBL1289610	*	4.3
CHEMBL1170725	4.71	*
CHEMBL399705	4.9	*
CHEMBL428411	*	6.09
CHEMBL368883	4.12	*
CHEMBL561584	*	4.58
CHEMBL549595	5.7	*
CHEMBL46	4.96	6.09
CHEMBL1586390	4.8	*
CHEMBL485124	*	4.26
CHEMBL3627897	*	4.7
CHEMBL3627895	*	5.27
CHEMBL3771031	5.7	*
CHEMBL3770314	6.52	*
CHEMBL1269885	*	4.81
CHEMBL3763418	*	5.6
CHEMBL1258035	*	6.2
CHEMBL1258268	*	6.2
CHEMBL1258153	*	5.6
CHEMBL1257215	*	6
CHEMBL1257336	*	6.8
CHEMBL1257448	*	6.3
CHEMBL1257337	*	6.3
CHEMBL1079824	*	6
CHEMBL1081409	*	6.1
CHEMBL1079823	*	6.4
CHEMBL1081580	*	6.2
CHEMBL1082111	*	5
CHEMBL1081868	*	5.7
CHEMBL1082106	*	6.1
CHEMBL1080126	*	6.2
CHEMBL1079822	*	6.2
CHEMBL1079481	*	6
CHEMBL1210552	*	6.1
CHEMBL1081023	*	6
CHEMBL1080846	*	6
CHEMBL1080490	*	6.1
CHEMBL1081747	*	6
CHEMBL1081587	*	5.6
CHEMBL1079462	*	5.7
CHEMBL1081966	*	6.5
CHEMBL1081957	*	5.1
CHEMBL1210614	*	5.7
CHEMBL1079938	*	5.4
CHEMBL1079461	*	5.8
CHEMBL1079980	*	5.7
CHEMBL1081934	*	6
CHEMBL1079667	*	5.8
CHEMBL1080189	*	5.2
CHEMBL3775967	*	6
CHEMBL3774540	*	6.7
CHEMBL3775226	*	4.8
CHEMBL3775301	*	5.9
CHEMBL3774588	*	6.1
CHEMBL3775534	*	6.1
CHEMBL3775005	*	6.6
CHEMBL3775589	*	5.8
CHEMBL3775872	*	6.2
CHEMBL3774515	*	6.2
CHEMBL1257686	*	6.1
CHEMBL1257808	*	6.7
CHEMBL1257565	*	5.3
CHEMBL1258713	*	6.2
CHEMBL1258712	*	6.5
CHEMBL1258949	*	5.6
CHEMBL1258833	*	6.1
CHEMBL1258380	*	6.2
CHEMBL1258381	*	5.9
CHEMBL1258606	*	5.2
CHEMBL1257566	*	5.7
CHEMBL1257687	*	5.7
CHEMBL1257447	*	5.2
CHEMBL1257809	*	5.8
CHEMBL257536	*	7.2
CHEMBL255619	*	6
CHEMBL271083	*	6.7
CHEMBL255621	*	5.2
CHEMBL256475	*	5.2
CHEMBL272775	*	5.3
CHEMBL256659	*	5.3
CHEMBL437792	*	5.6
CHEMBL402215	*	6.5
CHEMBL271449	*	5.9
CHEMBL272588	*	6.1
CHEMBL271511	*	5.7
CHEMBL3764557	*	5.5
CHEMBL3765754	*	5.5
CHEMBL1257335	*	5.1
CHEMBL3137442	5.54	*
CHEMBL1366446	5.3	*
CHEMBL1333637	4.8	*
CHEMBL1360622	4.4	*
CHEMBL515916	5	*
CHEMBL1558076	5.35	*
CHEMBL1589282	5.55	*
CHEMBL1313588	4.6	*
CHEMBL1499485	4.4	*
CHEMBL1330448	4.9	*
CHEMBL1230468	*	4.55
CHEMBL1478769	4.85	*
CHEMBL1580156	4.65	*
CHEMBL3210486	4.75	*
CHEMBL2207500	*	4.96
CHEMBL3210478	4.85	*
CHEMBL1535539	4.85	*
CHEMBL3823154	6.3	*
CHEMBL3822587	*	4.66
CHEMBL3824323	*	5.03
CHEMBL3824296	5.32	4.62
CHEMBL1742047	4.65	*
CHEMBL1335102	4.85	*
CHEMBL1400427	4.8	*
CHEMBL3622958	*	4.9
CHEMBL3622956	*	4.62
CHEMBL471299	*	4.77
CHEMBL460893	*	6.13
CHEMBL512520	*	5.11
CHEMBL3823007	*	4.54
CHEMBL1471931	5.65	*
CHEMBL1312265	5.4	*
CHEMBL1463049	5.95	*
CHEMBL1556705	5.5	*
CHEMBL1528262	5.15	*
CHEMBL1301542	5.6	*
CHEMBL1471635	5.5	*
CHEMBL2069416	*	5.4
CHEMBL1432402	5.2	*
CHEMBL488730	*	5.89
CHEMBL3198972	4.65	*
CHEMBL1563819	4.4	*
CHEMBL1372132	4.6	*
CHEMBL1730467	4.6	*
CHEMBL1464066	4.8	*
CHEMBL1801188	*	6.5
CHEMBL1457224	4.9	*
CHEMBL1442537	4.85	*
CHEMBL1359611	4.4	*
CHEMBL3198953	5.9	*
CHEMBL3194183	4.6	*
CHEMBL1398639	5.1	*
CHEMBL1329119	4.85	*
CHEMBL445464	*	5.56
CHEMBL13662	4.5	*
CHEMBL231497	*	4.69
CHEMBL280164	5.1	*
CHEMBL1374050	4.95	*
CHEMBL1400398	6.05	*
CHEMBL1910311	*	5.72
CHEMBL3734797	4.89	5.63
CHEMBL372575	*	4.3
CHEMBL499477	*	6.17
CHEMBL1549097	4.85	*
CHEMBL1452864	4.95	*
CHEMBL1574385	4.4	*
CHEMBL1499289	5.2	*
CHEMBL401576	*	6.9
CHEMBL3608741	*	4.3
CHEMBL3608684	*	4.3
CHEMBL1586326	4.85	*
CHEMBL3196906	4.4	*
CHEMBL3195732	5.05	*
CHEMBL3212941	5.3	*
CHEMBL3192219	5.25	*
CHEMBL467187	6.57	*
CHEMBL1257925	*	5.9
CHEMBL2397313	5.11	*
CHEMBL1348828	5.2	*
CHEMBL1531779	4.55	*
CHEMBL1386571	5.3	*
CHEMBL1362642	4.6	*
CHEMBL253528	5.96	*
CHEMBL256755	*	6.75
CHEMBL1255595	*	8.55
CHEMBL1558885	5.3	*
CHEMBL1375285	5.3	*
CHEMBL397429	*	7.3
CHEMBL244276	*	7.4
CHEMBL244084	*	6.1
CHEMBL244277	*	6.3
CHEMBL244275	*	6.5
CHEMBL3787237	*	5.52
CHEMBL1547922	4.6	*
CHEMBL1524127	5.15	*
CHEMBL256468	4.55	4.74
CHEMBL272963	4.7	*
CHEMBL272336	5.33	5.89
CHEMBL429734	4.7	5.75
CHEMBL255389	4.72	5.21
CHEMBL1427186	5.35	*
CHEMBL1409258	6	*
CHEMBL3582324	*	5.5
CHEMBL32579	5.5	*
CHEMBL495067	4.8	*
CHEMBL271072	*	5.3
CHEMBL255806	*	5.6
CHEMBL402015	*	5.2
CHEMBL256481	*	5.8
CHEMBL272694	*	5.3
CHEMBL257901	*	4.9
CHEMBL3218481	*	5.4
CHEMBL3218480	*	4.66
CHEMBL403815	*	5.8
CHEMBL291536	5	*
CHEMBL271073	*	4.3
CHEMBL439065	*	5.4
CHEMBL269995	*	5
CHEMBL256653	*	4.3
CHEMBL255827	*	4.5
CHEMBL256650	*	4.3
CHEMBL1562229	5.7	*
CHEMBL567904	6.52	*
CHEMBL551991	4.73	*
CHEMBL565390	5.16	*
CHEMBL567487	5.1	*
CHEMBL576093	4.75	*
CHEMBL570639	4.06	*
CHEMBL565383	6.05	*
CHEMBL577965	6.4	*
CHEMBL272511	*	5.6
CHEMBL402422	*	4.9
CHEMBL1561738	4.75	*
CHEMBL1524242	4.8	*
CHEMBL594072	5.4	*
CHEMBL605410	5.8	*
CHEMBL593813	6.3	*
CHEMBL595459	5.89	*
CHEMBL593374	7	*
CHEMBL593375	6	*
CHEMBL595944	5.3	4.98
CHEMBL594755	5.5	*
CHEMBL596583	6.2	*
CHEMBL3137441	5.68	*
CHEMBL1356234	4.8	*
CHEMBL1366629	5.3	*
CHEMBL1399760	4.8	*
CHEMBL1556456	5.1	*
CHEMBL1446905	5.3	*
CHEMBL1356132	5.3	*
CHEMBL1610387	4.9	*
CHEMBL1512594	5.1	*
CHEMBL1359320	4.9	*
CHEMBL1574608	4.8	*
CHEMBL1447946	5.4	*
CHEMBL1435713	4.8	*
CHEMBL1445984	4.8	*
CHEMBL1553785	4.7	*
CHEMBL1436935	4.5	*
CHEMBL1472900	4.6	*
CHEMBL1567292	4.9	*
CHEMBL1355651	4.7	*
CHEMBL1314505	5	*
CHEMBL1512676	4.9	*
CHEMBL1819259	*	4.51
CHEMBL1402827	4.6	*
CHEMBL1367020	4.7	*
CHEMBL1611630	7.9	*
CHEMBL1329823	4.9	*
CHEMBL1484253	4.5	*
CHEMBL3287925	4.77	*
CHEMBL2017089	4.77	*
CHEMBL2017268	5.7	*
CHEMBL2017269	4.89	*
CHEMBL1394714	4.5	*
CHEMBL1514129	4.9	*
CHEMBL1357553	4.8	*
CHEMBL1473809	4.9	*
CHEMBL1450716	5	*
CHEMBL585861	5.6	*
CHEMBL568379	5	*
CHEMBL1446539	4.9	*
CHEMBL1316616	5.6	*
CHEMBL1399136	5.1	*
CHEMBL1434460	5.5	*
CHEMBL1356299	5.7	*
CHEMBL1358503	5.5	*
CHEMBL1551567	5.2	*
CHEMBL1475257	4.4	*
CHEMBL1494481	5.2	*
CHEMBL1435907	5.6	*
CHEMBL1590598	5.2	*
CHEMBL1409613	6.5	*
CHEMBL1525602	5.1	*
CHEMBL1314247	5.7	*
CHEMBL1356794	5.2	*
CHEMBL1356733	4.9	*
CHEMBL1568178	5.9	*
CHEMBL1434747	5.6	*
CHEMBL1557696	4.9	*
CHEMBL1355701	5.3	*
CHEMBL1364182	5.4	*
CHEMBL1517241	4.8	*
CHEMBL1440715	4.7	*
CHEMBL1910313	*	6.15
CHEMBL1374718	5.35	*
CHEMBL1518719	4.8	*
CHEMBL1352525	5.4	*
CHEMBL243899	*	6.1
CHEMBL395742	*	7.6
CHEMBL243896	*	7.7
CHEMBL243897	*	7.2
CHEMBL397222	*	8
CHEMBL244279	*	7.6
CHEMBL243708	*	6.5
CHEMBL244278	*	7.1
CHEMBL244280	*	6.6
CHEMBL243859	*	6.1
CHEMBL243707	*	6.3
CHEMBL243709	*	5.7
CHEMBL244087	*	7.2
CHEMBL243898	*	6.6
CHEMBL395743	*	6.6
CHEMBL244086	*	6.9
CHEMBL244085	*	6.1
CHEMBL242598	*	5.4
CHEMBL243474	*	6.4
CHEMBL243900	*	6.5
CHEMBL1742160	5.4	*
CHEMBL1418721	5.4	*
CHEMBL1371824	6	*
CHEMBL1741578	5.05	*
CHEMBL865	4.8	*
CHEMBL1324982	5.95	*
CHEMBL1595998	5.5	*
CHEMBL1910310	*	6.06
CHEMBL2441835	5.33	*
CHEMBL2207518	*	5.2
CHEMBL2207501	*	5.02
CHEMBL2203764	*	5.6
CHEMBL2204938	*	6.27
CHEMBL2204935	*	5.47
CHEMBL3582318	*	5.38
CHEMBL3582317	*	4.92
CHEMBL3582321	*	5.5
CHEMBL3775042	*	5.74
CHEMBL3775760	*	5.26
CHEMBL2204933	*	5.66
CHEMBL2204937	*	6.34
CHEMBL2204936	*	5.79
CHEMBL3775061	*	5.19
CHEMBL3775630	*	5.76
CHEMBL3774800	*	5.31
CHEMBL2204932	*	6.42
CHEMBL2204940	*	5.85
CHEMBL244083	*	5.6
CHEMBL1326688	4.6	*
CHEMBL1306083	4.6	*
CHEMBL1596258	4.65	*
CHEMBL1736563	5.85	*
CHEMBL1455754	4.6	*
CHEMBL1432368	6.05	*
CHEMBL1463002	5.3	*
CHEMBL1709275	5.6	*
CHEMBL1313862	4.85	*
CHEMBL1460432	4.85	*
CHEMBL1521744	4.8	*
CHEMBL1507172	4.75	*
CHEMBL960	5.3	*
CHEMBL59532	4.9	*
CHEMBL1350043	5.05	*
CHEMBL1612486	5.8	*
CHEMBL1497639	5.5	*
CHEMBL1412756	5.35	*
CHEMBL1580610	4.8	*
CHEMBL2070944	*	4.8
CHEMBL3823832	4.96	*
CHEMBL1501953	5.1	*
CHEMBL1402493	4.95	*
CHEMBL1400835	4.9	*
CHEMBL1351420	4.85	*
CHEMBL1304570	5.65	*
CHEMBL1579360	5.5	*
CHEMBL1504668	4.4	*
CHEMBL2373669	5.9	*
CHEMBL1371285	4.5	*
CHEMBL1435996	5.5	*
CHEMBL651	*	5.01
CHEMBL1605835	4.9	*
CHEMBL1471561	5.35	*
CHEMBL53321	*	5.71
CHEMBL1433731	5.2	*
CHEMBL1392924	4.85	*
CHEMBL274844	4.6	*
CHEMBL596	*	5.74
CHEMBL567288	*	4.92
CHEMBL1575911	4.4	*
CHEMBL1402435	4.8	*
CHEMBL2170609	4.59	*
CHEMBL1649930	*	5.3
CHEMBL1742336	5.15	*
CHEMBL1339949	4.55	*
CHEMBL1375216	4.9	*
CHEMBL486140	4.77	*
CHEMBL3212534	5.1	*
CHEMBL1377410	5	*
CHEMBL1360125	5.1	*
CHEMBL1301918	4.8	*
CHEMBL1311035	4.85	*
CHEMBL1222498	4.8	*
CHEMBL1741498	5.45	*
CHEMBL1527851	5.15	*
CHEMBL252031	*	6.74
CHEMBL253022	*	6.79
CHEMBL1390531	4.55	*
CHEMBL1547410	4.85	*
CHEMBL1490646	4.65	*
CHEMBL1353181	5.45	*
CHEMBL1561570	4.95	*
CHEMBL1413611	5.3	*
CHEMBL1485581	4.65	*
CHEMBL1423999	4.6	*
CHEMBL1957791	*	5.55
CHEMBL3786896	5.1	*
CHEMBL1593906	5.3	*
CHEMBL1493945	5.3	*
CHEMBL1514257	5.3	*
CHEMBL1592495	5	*
CHEMBL1170	5.9	*
CHEMBL300117	*	5.56
CHEMBL297687	5	*
CHEMBL1394738	4.4	*
CHEMBL1476383	5.2	*
CHEMBL1319520	4.9	*
CHEMBL1472356	4.6	*
CHEMBL3758397	*	5.54
CHEMBL1501021	4.85	*
CHEMBL1409626	4.85	*
CHEMBL3137477	4.77	*
CHEMBL6615	4.4	*
CHEMBL3196138	4.95	*
CHEMBL11458	5.3	*
CHEMBL1314217	5.1	*
CHEMBL1452881	5	*
CHEMBL1414674	4.5	*
CHEMBL1223602	*	5.9
CHEMBL1091720	*	5.92
CHEMBL1581905	6	*
CHEMBL1538593	5.7	*
CHEMBL1447970	5.8	*
CHEMBL1531466	5.3	*
CHEMBL1352096	5.4	*
CHEMBL1391435	5.05	*
CHEMBL1533962	5.95	*
CHEMBL3613449	*	5.78
CHEMBL1391234	5.45	*
CHEMBL1607752	4.8	*
CHEMBL2374057	6	*
CHEMBL1515625	4.6	*
CHEMBL1605941	5.6	*
CHEMBL2373647	5.2	*
CHEMBL1355448	4.7	*
CHEMBL522697	*	6.05
CHEMBL1338714	5.15	*
CHEMBL1337320	5.1	*
CHEMBL1592352	5	*
CHEMBL1535201	4.9	*
CHEMBL1311981	4.75	*
CHEMBL1345025	4.8	*
CHEMBL1611902	5.95	*
CHEMBL1711658	4.8	*
CHEMBL22587	6.05	*
CHEMBL64391	7.3	*
CHEMBL1364804	4.9	*
CHEMBL1441162	5.25	*
CHEMBL1410725	6.05	*
CHEMBL1609497	4.6	*
CHEMBL1409985	4.8	*
CHEMBL1547277	4.8	*
CHEMBL1548181	4.4	*
CHEMBL541941	7.04	*
CHEMBL283754	5.2	*
CHEMBL1761534	*	6.4
CHEMBL377286	5.28	*
CHEMBL1706520	4.7	*
CHEMBL1450125	4.6	*
CHEMBL1402965	5.35	*
CHEMBL3194323	5.1	*
CHEMBL3209548	4.85	*
CHEMBL1609519	4.85	*
CHEMBL299390	*	5.83
CHEMBL1521520	5.1	*
CHEMBL1080969	*	5.11
CHEMBL1271275	*	5.5
CHEMBL2333620	*	5.15
CHEMBL1084401	*	6.5
CHEMBL1823052	*	5.29
CHEMBL1325297	4.9	*
CHEMBL1387144	6.35	*
CHEMBL1535905	5.7	*
CHEMBL1507284	4.8	*
CHEMBL1360952	6.05	*
CHEMBL3137464	5	*
CHEMBL1305215	5.4	*
CHEMBL2325982	*	5.19
CHEMBL1521039	5.2	*
CHEMBL1449589	4.8	*
CHEMBL2012838	*	5
CHEMBL2010824	*	4.88
CHEMBL2012836	*	6.02
CHEMBL2012837	*	5.57
CHEMBL1289093	*	4.89
CHEMBL1289215	*	5.36
CHEMBL1289446	*	4.77
CHEMBL1290649	*	5.2
CHEMBL1289094	*	5.59
CHEMBL1289214	*	5.42
CHEMBL53871	*	4.8
CHEMBL53866	*	5.66
CHEMBL1467631	5.15	*
CHEMBL1402562	7	*
CHEMBL1540956	5.9	*
CHEMBL1562832	5.8	*
CHEMBL1306942	4.85	*
CHEMBL1385673	5.55	*
CHEMBL3114717	6.89	*
CHEMBL3114718	6.89	*
CHEMBL1499330	5.2	*
CHEMBL1408445	4.8	*
CHEMBL1359157	5.5	*
CHEMBL1608975	5.4	*
CHEMBL1371710	5.2	*
CHEMBL1454052	4.9	*
CHEMBL1552066	5.4	*
CHEMBL1364980	5.5	*
CHEMBL1413701	6.1	*
CHEMBL3577942	*	4.85
CHEMBL3577945	*	5.75
CHEMBL3577935	*	4.5
CHEMBL490949	*	6.31
CHEMBL1355978	5.3	*
CHEMBL362103	*	6.6
CHEMBL1481847	5	*
CHEMBL1481747	4.8	*
CHEMBL1475120	5	*
CHEMBL1593371	4.8	*
CHEMBL1476055	5.2	*
CHEMBL1396949	4.9	*
CHEMBL1443360	5	*
CHEMBL1526213	5.9	*
CHEMBL1318622	5.6	*
CHEMBL1554851	5.2	*
CHEMBL1338163	5.4	*
CHEMBL1374863	5.5	*
CHEMBL1408520	4.9	*
CHEMBL1327697	5.5	*
CHEMBL1456420	5.4	*
CHEMBL1488305	5.2	*
CHEMBL1532230	4.5	*
CHEMBL1442087	6	*
CHEMBL1374218	5.4	*
CHEMBL1531070	5	*
CHEMBL1555369	5.4	*
CHEMBL1330718	5.1	*
CHEMBL1362562	5.3	*
CHEMBL1331579	5.5	*
CHEMBL1454793	5.2	*
CHEMBL1333156	5.5	*
CHEMBL1437408	5.4	*
CHEMBL1525438	5.4	*
CHEMBL1364963	5.45	*
CHEMBL1348021	4.85	*
CHEMBL1425971	5	*
CHEMBL3326577	5.55	*
CHEMBL488	4.5	*
CHEMBL388488	*	4.35
CHEMBL2380439	*	5.8
CHEMBL1474730	4.7	*
CHEMBL1671908	*	4.13
CHEMBL1554654	5.5	*
CHEMBL1582671	4.8	*
CHEMBL1429416	4.7	*
CHEMBL553025	6	*
CHEMBL1527222	4.6	*
CHEMBL1515792	4.8	*
CHEMBL1486091	5.1	*
CHEMBL1398197	4.5	*
CHEMBL1480740	4.8	*
CHEMBL1531982	4.8	*
CHEMBL1513537	4.6	*
CHEMBL1371095	5	*
CHEMBL1558153	4.6	*
CHEMBL1513821	4.9	*
CHEMBL1413827	5.4	*
CHEMBL1450209	5.2	*
CHEMBL1591910	4.9	*
CHEMBL1564957	5.4	*
CHEMBL1399103	5.3	*
CHEMBL1594439	5.3	*
CHEMBL1452946	5.9	*
CHEMBL1333834	5.1	*
CHEMBL1514430	5	*
CHEMBL1488612	4.8	*
CHEMBL1566325	5.3	*
CHEMBL1450460	4.8	*
CHEMBL1397999	5.2	*
CHEMBL1604672	5.9	*
CHEMBL1474196	5.9	*
CHEMBL1575052	5	*
CHEMBL1444862	4.9	*
CHEMBL2425952	7	5.33
CHEMBL476723	*	5.3
CHEMBL1492687	4.8	*
CHEMBL623	6	*
CHEMBL1334512	4.4	*
CHEMBL1317962	5.4	*
CHEMBL1554975	5.2	*
CHEMBL1317059	4.8	*
CHEMBL1308249	5.35	*
CHEMBL1705400	6.05	*
CHEMBL17468	4.8	*
CHEMBL1611218	5	*
CHEMBL217133	*	4.68
CHEMBL1339670	5.1	*
CHEMBL3604693	*	6.16
CHEMBL1483307	4.75	*
CHEMBL1407572	4.6	*
CHEMBL2441418	*	4.57
CHEMBL564812	*	4.82
CHEMBL3822962	*	4.77
CHEMBL1814154	*	4.64
CHEMBL1951347	5.34	*
CHEMBL2105617	*	5.98
CHEMBL1484447	4.8	*
CHEMBL1605233	4.8	*
CHEMBL837	4.59	*
CHEMBL481	4.62	*
CHEMBL1331351	4.8	*
CHEMBL1606892	4.9	*
CHEMBL497137	4.13	*
CHEMBL15766	5	*
CHEMBL1385038	5.2	*
CHEMBL1582074	5.35	*
CHEMBL2336419	5.16	*
CHEMBL2336421	4.6	*
CHEMBL2023922	*	4.6
CHEMBL3087042	4.91	*
CHEMBL1095789	*	5.92
CHEMBL2023930	*	5.4
CHEMBL449542	*	5.94
CHEMBL507721	*	5.34
CHEMBL1532175	4.8	*
CHEMBL221113	5.06	*
CHEMBL1366680	5.3	*
CHEMBL1402799	4.8	*
CHEMBL1304696	5.05	*
CHEMBL1486821	5.4	*
CHEMBL1362729	5.4	*
CHEMBL1396829	5.5	*
CHEMBL1318120	5.5	*
CHEMBL1359930	5.5	*
CHEMBL1314844	5.4	*
CHEMBL1572239	5.2	*
CHEMBL1606038	5.5	*
CHEMBL1589879	5.2	*
CHEMBL1494227	5.5	*
CHEMBL159096	4.7	*
CHEMBL1389823	5.4	*
CHEMBL1530189	4.6	*
CHEMBL1582783	5.45	*
CHEMBL1407646	4.65	*
CHEMBL1382075	4.4	*
CHEMBL226968	5.4	*
CHEMBL1387271	6	*
CHEMBL527271	4.6	*
CHEMBL1734974	4.55	*
CHEMBL1444936	5.65	*
CHEMBL1457730	5.4	*
CHEMBL1393997	5.9	*
CHEMBL1578496	5.85	*
CHEMBL1561188	5.4	*
CHEMBL1523995	4.9	*
CHEMBL1575205	4.4	*
CHEMBL1210646	5.02	*
CHEMBL2048496	4.4	*
CHEMBL2048497	4.54	*
CHEMBL1443086	4.85	*
CHEMBL1352020	4.85	*
CHEMBL1420680	5.2	*
CHEMBL1307908	5.55	*
CHEMBL1718206	4.9	*
CHEMBL1408815	5.4	*
CHEMBL1411148	4.55	*
CHEMBL1438061	4.5	*
CHEMBL1442392	5.45	*
CHEMBL1366112	4.8	*
CHEMBL1460907	5.5	*
CHEMBL214377	*	8.13
CHEMBL1582197	5.65	*
CHEMBL2376796	*	5.61
CHEMBL2376797	*	5.56
CHEMBL2376795	*	5.82
CHEMBL1407064	4.75	*
CHEMBL1317548	5.1	*
CHEMBL598555	*	4.56
CHEMBL238146	5.41	*
CHEMBL496624	4.89	*
CHEMBL523752	5.2	*
CHEMBL1501701	5.35	*
CHEMBL1307909	5.3	*
CHEMBL1347492	5.85	*
CHEMBL1594473	4.85	*
CHEMBL3189655	5.15	*
CHEMBL3330260	5	*
CHEMBL1378443	5.6	*
CHEMBL3237556	*	5.2
CHEMBL1534554	5.5	*
CHEMBL622	5.5	*
CHEMBL1490268	4.9	*
CHEMBL1397782	5.7	*
CHEMBL3330409	5.54	*
CHEMBL240436	6.6	*
CHEMBL1462833	4.7	*
CHEMBL1494296	5.35	*
CHEMBL1423713	4.6	*
CHEMBL1445647	4.8	*
CHEMBL1518901	4.75	*
CHEMBL1742322	4.8	*
CHEMBL1365175	5.15	*
CHEMBL1523055	4.6	*
CHEMBL1326499	4.8	*
CHEMBL1322875	4.8	*
CHEMBL1492580	4.7	*
CHEMBL1564828	4.85	*
CHEMBL300907	*	5.46
CHEMBL3798517	4.68	*
CHEMBL2376800	*	4.46
CHEMBL2376801	*	4.36
CHEMBL2376799	*	4.57
CHEMBL3703264	*	5.35
CHEMBL270271	6.68	*
CHEMBL1782578	*	5.92
CHEMBL576256	*	4
CHEMBL565829	*	5.01
CHEMBL567916	*	4.41
CHEMBL191053	5.36	*
CHEMBL36	5	*
CHEMBL390642	5	*
CHEMBL230262	4.92	*
CHEMBL230260	5.55	*
CHEMBL230367	5.1	*
CHEMBL239085	6.28	*
CHEMBL241663	5.77	*
CHEMBL240598	6.8	*
CHEMBL429459	5.32	*
CHEMBL393218	4.52	*
CHEMBL241241	6.57	*
CHEMBL239496	5.94	*
CHEMBL238866	6.04	*
CHEMBL398584	6.07	*
CHEMBL239078	5.72	*
CHEMBL239074	6.23	*
CHEMBL393363	6.92	*
CHEMBL240391	5.78	*
CHEMBL241032	6.17	*
CHEMBL240813	5.66	*
CHEMBL239497	6.34	*
CHEMBL239495	5.52	*
CHEMBL1610961	4.8	*
CHEMBL1579521	5.1	*
CHEMBL1374205	4.8	*
CHEMBL1370855	5.45	*
CHEMBL3298835	5.68	*
CHEMBL271631	*	6.6
CHEMBL255567	*	5.9
CHEMBL3298836	6.31	*
CHEMBL3298905	4.94	*
CHEMBL256442	*	6.8
CHEMBL403804	*	5.5
CHEMBL331186	4.46	*
CHEMBL1834798	*	4.64
CHEMBL256477	*	6
CHEMBL3822619	*	5.28
CHEMBL1095121	*	5.85
CHEMBL1099069	*	5.29
CHEMBL1819274	*	5.12
CHEMBL1343639	5.2	*
CHEMBL1523892	5.6	*
CHEMBL1545790	4.85	*
CHEMBL3194740	4.65	*
CHEMBL3195224	4.85	*
CHEMBL1710203	4.85	*
CHEMBL1480190	6.15	*
CHEMBL1709586	5.45	*
CHEMBL1393667	4.8	*
CHEMBL403181	*	6
CHEMBL1315430	4.5	*
CHEMBL1355410	4.5	*
CHEMBL1671904	4.6	4.48
CHEMBL1671888	*	4.44
CHEMBL1671887	*	4.14
CHEMBL559987	*	5.16
CHEMBL557648	*	6.27
CHEMBL571013	*	6.08
CHEMBL556183	*	5.37
CHEMBL560182	*	5.8
CHEMBL560921	*	5.8
CHEMBL562677	*	6.05
CHEMBL3582325	*	5.37
CHEMBL3747455	*	4.44
CHEMBL551197	*	5.08
CHEMBL1532107	4.6	*
CHEMBL255417	*	5.5
CHEMBL256482	*	5.8
CHEMBL255778	*	5.9
CHEMBL272378	*	5.6
CHEMBL257524	*	5.4
CHEMBL269994	*	5.8
CHEMBL401752	*	6.3
CHEMBL401777	*	5.6
CHEMBL2057786	7.41	*
CHEMBL215457	*	4.57
CHEMBL271096	*	6.6
CHEMBL256651	*	5.9
CHEMBL272545	*	5.3
CHEMBL272302	*	4.8
CHEMBL272546	*	5.2
CHEMBL3703285	*	5.1
CHEMBL384043	*	4.7
CHEMBL442456	*	5.2
CHEMBL427836	*	5.3
CHEMBL388590	4.54	*
CHEMBL1340722	4.7	*
