CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL29743	5.24	*
CHEMBL285343	4.93	*
CHEMBL247378	4.4	*
CHEMBL1451733	5.4	*
CHEMBL1485060	5	*
CHEMBL3192875	5.3	*
CHEMBL3191906	4.75	*
CHEMBL1300933	5	*
CHEMBL1702814	4.8	*
CHEMBL1550597	4.85	*
CHEMBL1526648	5	*
CHEMBL3195528	4.75	*
CHEMBL1428990	4.8	*
CHEMBL1468324	4.85	*
CHEMBL1892270	4.6	*
CHEMBL1519709	4.7	*
CHEMBL1382389	5.35	*
CHEMBL1586735	4.9	*
CHEMBL1606673	4.65	*
CHEMBL1519330	4.4	*
CHEMBL246161	4.55	*
CHEMBL152632	6.4	*
CHEMBL1369642	4.85	*
CHEMBL572	4.4	*
CHEMBL1987514	6.05	*
CHEMBL1432821	5.1	*
CHEMBL1495580	5.15	*
CHEMBL1358007	5.5	*
CHEMBL409849	*	4.85
CHEMBL1449000	4.85	*
CHEMBL485629	*	4.18
CHEMBL2158291	5.72	*
CHEMBL1427238	4.65	*
CHEMBL395573	4.75	*
CHEMBL336467	4.9	*
CHEMBL395459	*	5.54
CHEMBL240886	*	5.41
CHEMBL240887	*	5.19
CHEMBL1506245	5.1	*
CHEMBL1741744	4.85	*
CHEMBL1480575	4.55	*
CHEMBL1307715	5.15	*
CHEMBL832	4.9	*
CHEMBL2069506	*	7
CHEMBL1322864	5.5	*
CHEMBL1411246	4.6	*
CHEMBL1316355	5.4	*
CHEMBL1256182	5.5	*
CHEMBL1468521	5.45	*
CHEMBL1433173	4.8	*
CHEMBL537445	4.4	*
CHEMBL1544254	4.85	*
CHEMBL1404928	4.9	*
CHEMBL1481347	4.5	*
CHEMBL1400995	4.5	*
CHEMBL1419738	4.45	*
CHEMBL1310248	5.2	*
CHEMBL1485384	5.1	*
CHEMBL1204111	4.9	*
CHEMBL496286	5.68	*
CHEMBL496469	5.47	*
CHEMBL526081	6.45	*
CHEMBL522228	6.2	*
CHEMBL1410841	5.3	*
CHEMBL1493117	5.4	*
CHEMBL444236	4.8	*
CHEMBL177820	5.5	*
CHEMBL844	4.8	*
CHEMBL1333410	4.85	*
CHEMBL1418045	*	8.32
CHEMBL1600524	4.85	*
CHEMBL2336416	5.14	*
CHEMBL2146875	*	6.25
CHEMBL2336412	4.75	*
CHEMBL1969457	5.55	*
CHEMBL1546811	5.8	*
CHEMBL403128	5.8	*
CHEMBL1528076	5.2	*
CHEMBL3086029	*	6.54
CHEMBL3086048	*	6.28
CHEMBL1527442	4.6	*
CHEMBL1543808	4.85	*
CHEMBL1330158	5.45	*
CHEMBL1309131	6.35	*
CHEMBL1432119	6.7	*
CHEMBL1365082	5.3	*
