CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL2385102	*	6.71
CHEMBL2387230	*	6.65
CHEMBL2387260	*	6.8
CHEMBL478616	*	5.8
CHEMBL478615	*	5.17
CHEMBL478406	*	5
CHEMBL479242	*	5.18
CHEMBL476373	*	5
CHEMBL487063	*	5.07
CHEMBL1602123	4.5	*
CHEMBL1395303	4.8	*
CHEMBL1474795	4.8	*
CHEMBL1435886	4.9	*
CHEMBL1514455	5.5	*
CHEMBL1574476	5.1	*
CHEMBL1433950	4.8	*
CHEMBL1315820	4.8	*
CHEMBL1437273	5.2	*
CHEMBL1395402	5.1	*
CHEMBL1552588	5	*
CHEMBL1945845	*	5.16
CHEMBL2012178	*	5.6
CHEMBL3792542	*	5.23
CHEMBL2441417	*	4.7
CHEMBL3792966	*	4.48
CHEMBL3692706	*	4.54
CHEMBL443090	*	5
CHEMBL492396	*	4.64
CHEMBL3785865	*	4.34
CHEMBL1224142	*	5.96
CHEMBL1095158	*	5.28
CHEMBL498042	*	4.7
CHEMBL1779532	*	6.05
CHEMBL3612807	*	4.55
CHEMBL3699563	*	6.24
CHEMBL1079814	*	6.4
CHEMBL2441414	*	5.85
CHEMBL2023923	*	4.8
CHEMBL1224215	*	6
CHEMBL3086038	*	5.82
CHEMBL2441426	*	5
CHEMBL3627896	*	5.52
CHEMBL3650825	*	5.31
CHEMBL399791	*	4.54
CHEMBL429115	*	4.71
CHEMBL1910546	*	6.01
CHEMBL3793380	*	4.28
CHEMBL1096182	5.48	6
CHEMBL2023925	*	5.4
CHEMBL3792700	*	5.04
CHEMBL2041182	*	4.42
CHEMBL1224140	*	6.18
CHEMBL3422237	*	5.8
CHEMBL2333606	*	4.47
CHEMBL2441423	*	4.85
CHEMBL568296	*	4.68
CHEMBL3696120	*	5.96
CHEMBL2158774	*	5.2
CHEMBL398618	*	6.71
CHEMBL492448	*	6.34
CHEMBL3774791	*	7
CHEMBL3359234	*	6.02
CHEMBL2440398	*	4.36
CHEMBL2440383	*	4.73
CHEMBL2158814	*	4.6
CHEMBL1834788	*	4.57
CHEMBL1834791	*	4.75
CHEMBL494767	*	4.8
CHEMBL1257821	*	9.85
CHEMBL1257578	*	9.59
CHEMBL1910545	*	6.44
CHEMBL2012267	*	5.56
CHEMBL3221490	*	4.4
