CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1594044	5.9	*
CHEMBL1400043	4.8	*
CHEMBL1090176	*	5.42
CHEMBL1092597	*	5.12
CHEMBL1088900	*	5.12
CHEMBL2041185	*	5.85
CHEMBL1796062	*	5.3
CHEMBL1796063	4.7	4.75
CHEMBL1592470	4.4	*
CHEMBL1358215	5.1	*
CHEMBL1317885	4.8	*
CHEMBL1552353	4.5	*
CHEMBL1554236	4.7	*
CHEMBL1358756	4.8	*
CHEMBL1317498	4.8	*
CHEMBL1315690	4.7	*
CHEMBL1472732	4.8	*
CHEMBL1490528	4.8	*
CHEMBL1317802	4.9	*
CHEMBL1561383	4.9	*
CHEMBL1433668	4.8	*
CHEMBL1551009	5.1	*
CHEMBL1553136	5.1	*
CHEMBL1523957	5.3	*
CHEMBL1437263	5.4	*
CHEMBL1394964	4.7	*
CHEMBL1314647	5.2	*
CHEMBL1448728	4.9	*
CHEMBL1561363	5.2	*
CHEMBL1515804	5.3	*
CHEMBL1315236	4.5	*
CHEMBL1532426	4.8	*
CHEMBL1400637	5.1	*
CHEMBL1443393	4.8	*
CHEMBL1553804	4.8	*
CHEMBL1592465	4.8	*
CHEMBL1534573	4.6	*
CHEMBL1595377	5	*
CHEMBL1435912	4.9	*
CHEMBL1909649	*	5.68
CHEMBL1910307	*	5.08
CHEMBL1172998	*	5.7
CHEMBL202439	*	6.49
CHEMBL203961	*	5.7
CHEMBL379152	*	5.89
CHEMBL519252	*	6.3
CHEMBL529213	5.33	6
CHEMBL1834787	*	4.44
CHEMBL552366	*	5.2
CHEMBL3747226	*	5.05
CHEMBL2070943	*	4.6
CHEMBL2382414	*	5
CHEMBL2164392	*	5.05
CHEMBL2164381	*	4.59
CHEMBL2164389	*	5.11
CHEMBL1289503	*	5.6
CHEMBL1289715	*	5.1
CHEMBL1952113	*	5
CHEMBL2031878	*	4.95
CHEMBL1600340	4.6	*
CHEMBL1552181	5	*
CHEMBL1437119	4.7	*
CHEMBL1559279	4.8	*
CHEMBL1668238	5.12	5.85
CHEMBL522456	*	7
CHEMBL1591380	5	*
CHEMBL1375431	4.8	*
CHEMBL1523959	4.6	*
CHEMBL1535431	4.9	*
CHEMBL3806153	*	6.01
CHEMBL3805989	*	5.72
CHEMBL1395226	5.1	*
CHEMBL1557234	5.1	*
CHEMBL1358654	5.6	*
CHEMBL1436488	5.1	*
CHEMBL1315268	4.9	*
CHEMBL1405744	4.9	*
CHEMBL551347	*	5.45
CHEMBL1939739	*	5.44
CHEMBL3634821	*	5.22
CHEMBL465515	*	5.07
CHEMBL2022496	*	5.1
CHEMBL2324511	*	5.63
CHEMBL1644605	*	6.92
CHEMBL23924	*	4.14
CHEMBL23660	*	4.72
CHEMBL23110	*	4.8
CHEMBL278558	*	4.54
CHEMBL22359	*	5.23
CHEMBL3084944	*	4.77
CHEMBL3084949	*	4.66
CHEMBL277693	*	4.37
CHEMBL23891	*	4.43
CHEMBL279944	*	4.38
CHEMBL22679	*	4.4
CHEMBL283309	*	4.28
CHEMBL22310	*	4.31
CHEMBL25437	*	4.46
CHEMBL281561	*	5.22
CHEMBL281178	*	5.26
CHEMBL423108	*	5.28
CHEMBL23979	*	5.24
CHEMBL25211	*	5.55
CHEMBL550063	*	4.94
CHEMBL1224214	*	6.17
CHEMBL1223951	*	5.52
CHEMBL1257577	*	9.37
CHEMBL1258047	*	8.82
CHEMBL1223873	*	6.22
CHEMBL3593771	*	4.87
CHEMBL598194	*	5.28
CHEMBL3422235	*	4.98
CHEMBL3703237	*	5.66
CHEMBL2181298	*	5.26
CHEMBL2181489	*	5.52
CHEMBL2181297	*	4.71
CHEMBL2181488	*	4.7
CHEMBL3220877	*	4.74
CHEMBL2204259	*	4.5
CHEMBL1910321	*	6.47
CHEMBL1910322	*	5.96
CHEMBL1910309	*	6.05
CHEMBL3128178	*	5.22
CHEMBL1668239	4.48	5.14
CHEMBL2391800	*	6.16
CHEMBL2391939	*	7.42
CHEMBL439304	*	7.6
CHEMBL2391804	*	4.64
CHEMBL2391810	*	5.8
CHEMBL2391795	*	6.52
CHEMBL487827	*	4.96
CHEMBL3793857	*	5.19
CHEMBL2441437	*	4.85
CHEMBL3793471	*	4.34
CHEMBL3794155	*	5.03
CHEMBL572537	*	5.11
CHEMBL564922	*	4.98
CHEMBL2031875	*	5.06
CHEMBL550261	*	5.52
CHEMBL551414	*	4.27
CHEMBL2031871	*	4.96
CHEMBL2022939	*	4.8
CHEMBL2031872	*	5.6
CHEMBL253233	*	6.57
CHEMBL2031873	*	5.09
CHEMBL502560	5.05	5.33
CHEMBL1327915	4.8	*
CHEMBL1395605	4.8	*
CHEMBL1317172	4.8	*
CHEMBL1373621	4.8	*
CHEMBL1517718	4.8	*
CHEMBL1516331	4.9	*
CHEMBL1591533	4.4	*
CHEMBL518431	*	6.15
CHEMBL1481510	4.9	*
CHEMBL1434801	4.9	*
CHEMBL1357294	4.8	*
CHEMBL1552478	4.5	*
CHEMBL1592584	5.4	*
CHEMBL1565060	5.3	*
CHEMBL1403488	5.6	*
CHEMBL1606369	5	*
CHEMBL1593337	5.1	*
CHEMBL1476504	5.3	*
CHEMBL1394348	6	*
CHEMBL1474854	4.8	*
CHEMBL1365983	5.5	*
CHEMBL1534710	4.9	*
CHEMBL1517051	4.6	*
CHEMBL1520940	7.9	*
CHEMBL1574390	4.5	*
CHEMBL1487735	4.8	*
CHEMBL1316808	4.9	*
CHEMBL1398137	5.1	*
CHEMBL1945844	*	5.7
CHEMBL2158771	*	5.3
CHEMBL2158838	*	5.4
CHEMBL2158770	*	4.9
CHEMBL2158777	*	5.2
CHEMBL2158835	*	4.8
CHEMBL2158769	*	4.6
CHEMBL568572	*	6.28
CHEMBL246819	*	4.68
CHEMBL557306	*	5.99
CHEMBL3221523	*	4.7
CHEMBL3221529	*	4.6
CHEMBL3221528	*	4.1
CHEMBL3221517	*	5
CHEMBL3221520	*	4.4
CHEMBL564674	*	5.63
CHEMBL3221508	*	4.8
CHEMBL3221521	*	4.4
CHEMBL3221507	*	4.3
CHEMBL3330653	*	5.48
CHEMBL1094040	*	4.53
